Front	Back	Tags
"<strong>Bellman 方程</strong><br><br>Bellman 方程：值函数的递归关系，揭示了""未来奖励""与""当前决策""之间的数学联系，是几乎所有强化学习算法的理论基础。"	"<strong>核心公式</strong><pre>$$
V^\pi(s) = \sum_a \pi(a|s) \sum_{s'} P(s'|s,a) \left[ R(s,a,s') + \gamma V^\pi(s') \right]
$$</pre><br><br><strong>关联概念</strong><ul><li>MDP</li><li>Reinforcement Learning</li><li>Optimal Control</li><li>GAE</li><li>HJB</li></ul>"	robotics::formalization::bellman-equation
<strong>Contact Complementarity（接触互补约束）</strong><br><br>接触互补约束（Contact Complementarity Conditions） 是描述刚体与环境接触物理行为的数学框架：接触力与接触间隙必须互补为零——要么接触面有力（接触中），要么接触面有间隙（不接触），二者不能同时非零。这个约束是 LCP（线性互补问题）建模的核心，也是仿真器接触求解的数学基础。	"<strong>核心公式</strong><pre>$$
\phi_i \geq 0, \quad f_i^n \geq 0, \quad \phi_i \cdot f_i^n = 0
$$</pre><br><br><strong>关联概念</strong><ul><li>Contact Dynamics</li><li>Whole-Body Control</li><li>Trajectory Optimization</li><li>Drake</li></ul>"	robotics::formalization::contact-complementarity
<strong>Control Lyapunov Function（控制李雅普诺夫函数）</strong><br><br>Control Lyapunov Function（CLF）：一种用于设计使系统渐近稳定的控制律的数学工具。通过找到一个正定标量函数 $V(x)$，使得在某个控制输入下 $\dot{V}(x)$ 严格为负，从而保证系统状态最终收敛到目标状态。	"<strong>核心公式</strong><pre>$$
\dot{V}(x) = \frac{\partial V}{\partial x} f(x) &lt; 0 \quad \forall x \neq 0
$$</pre><br><br><strong>关联概念</strong><ul><li>Control Barrier Function（CBF）</li><li>CLF vs CBF</li><li>Lyapunov 稳定性</li><li>LQR</li><li>Whole-Body Control</li></ul>"	robotics::formalization::control-lyapunov-function
<strong>GAE（广义优势估计）</strong><br><br>GAE（Generalized Advantage Estimation） 是估计策略梯度中优势函数 $A(s,a)$ 的标准方法，通过参数 $\lambda \in [0,1]$ 在偏差（bias）和方差（variance）之间平滑权衡。	"<strong>核心公式</strong><pre>$$
\nabla_\theta J(\theta) = \mathbb{E}\left[ \nabla_\theta \log \pi_\theta(a \mid s) \cdot A^\pi(s, a) \right]
$$</pre><br><br><strong>关联概念</strong><ul><li>Bellman Equation</li><li>Policy Optimization</li><li>Reinforcement Learning</li></ul>"	robotics::formalization::gae
<strong>HJB 方程（Hamilton-Jacobi-Bellman）</strong><br><br>HJB 方程是连续时间最优控制的基本方程，给出了最优值函数 $V^*(x,t)$ 满足的偏微分方程（PDE）。它是 Bellman 最优方程在连续时间域的推广。	"<strong>核心公式</strong><pre>$$
V^*(x, t) = \min_{u(\cdot)} \left[ \int_t^T \ell(x(\tau), u(\tau))\, d\tau + \Phi(x(T)) \right]
$$</pre><br><br><strong>关联概念</strong><ul><li>Bellman Equation</li><li>LQR</li><li>Trajectory Optimization</li><li>Optimal Control</li></ul>"	robotics::formalization::hjb
<strong>LQR / iLQR</strong><br><br>LQR（Linear Quadratic Regulator，线性二次调节器）：最优控制中最经典的解析解，针对线性系统 + 二次代价函数，给出最优状态反馈增益的闭式解。iLQR（iterative LQR）是其非线性扩展，通过迭代线性化求解非线性轨迹优化。	"<strong>核心公式</strong><pre>$$
x_{t+1} = A x_t + B u_t
$$</pre><br><br><strong>关联概念</strong><ul><li>Optimal Control (OCP)</li><li>Trajectory Optimization</li><li>Model Predictive Control (MPC)</li><li>Bellman 方程</li><li>Lyapunov 稳定性</li><li>Crocoddyl</li></ul>"	robotics::formalization::lqr
"<strong>Lyapunov 稳定性</strong><br><br>Lyapunov 稳定性：通过构造一个随系统状态变化的标量函数 $V(x)$ 来判断平衡点附近的误差是否收敛。对机器人控制来说，它回答的是：""这个控制器不仅能把误差压小，而且能持续保持稳定吗？"""	"<strong>核心公式</strong><pre>$$
\dot{x} = f(x)
$$</pre><br><br><strong>关联概念</strong><ul><li>LQR / iLQR</li><li>Whole-Body Control</li><li>Locomotion</li><li>Centroidal Dynamics</li><li>Capture Point / DCM</li></ul>"	robotics::formalization::lyapunov
<strong>Control Barrier Function（控制屏障函数）</strong><br><br>一句话定义是什么？	"CBF 回答的是：""给定一个当前控制律，如何在最小修改的前提下，保证系统状态永远不进入危险区域？"" 其核心是把安全性转化为对控制输入的线性约束，进而通过 QP（二次规划）实时求解。<br><br><strong>关联概念</strong><ul><li>Whole-Body Control</li><li>Contact Dynamics</li><li>LQR</li><li>Control Lyapunov Function</li><li>CLF vs CBF</li></ul>"	robotics::concept::control-barrier-function
<strong>Optimal Control (OCP)</strong><br><br>一句话定义是什么？	“给定一个会动的机器人，什么样的控制序列能让它完成任务的同时代价最小？”<br><br><strong>关联概念</strong><ul><li>LQR / iLQR</li><li>Model Predictive Control (MPC)</li><li>Whole-Body Control</li><li>Reinforcement Learning</li><li>Locomotion</li><li>MDP</li><li>Bellman 方程</li></ul>	robotics::concept::optimal-control
<strong>Whole-Body Control (WBC)</strong><br><br>一句话定义是什么？	不单独控制每个关节，而是把整个身体当成一个整体来协调控制。<br><br><strong>关联概念</strong><ul><li>Locomotion</li><li>Imitation Learning</li><li>WBC vs RL</li><li>Sim2Real</li><li>Contact Estimation</li><li>Query：什么时候该用 WBC，什么时候该用 RL？</li></ul>	robotics::concept::whole-body-control
